mutant, status
415, SURVIVED
416, SURVIVED
417, SURVIVED
418, SURVIVED
419, SURVIVED
420, SURVIVED
421, SURVIVED
422, SURVIVED
423, SURVIVED
424, SURVIVED
425, SURVIVED
426, SURVIVED
452, SURVIVED
453, SURVIVED
454, SURVIVED
455, SURVIVED
456, SURVIVED
457, SURVIVED
458, SURVIVED
459, SURVIVED
460, SURVIVED
461, SURVIVED
462, SURVIVED
463, SURVIVED
464, SURVIVED
465, SURVIVED
466, SURVIVED
467, SURVIVED
468, SURVIVED
469, SURVIVED
470, SURVIVED
471, SURVIVED
472, SURVIVED
473, SURVIVED
480, SURVIVED
481, SURVIVED
482, SURVIVED
483, SURVIVED
484, SURVIVED
1121, SURVIVED
1122, SURVIVED
1123, SURVIVED
1124, SURVIVED
1125, SURVIVED
1126, SURVIVED
1127, SURVIVED
1128, SURVIVED
1129, SURVIVED
1130, SURVIVED
1131, SURVIVED
1132, SURVIVED
1133, SURVIVED
1134, SURVIVED
1135, SURVIVED
1136, SURVIVED
1137, SURVIVED
1138, SURVIVED
1139, SURVIVED
1140, SURVIVED
1141, SURVIVED
1142, SURVIVED
1143, SURVIVED
1144, SURVIVED
1145, SURVIVED
1146, SURVIVED
1147, SURVIVED
1148, SURVIVED
1149, SURVIVED
1150, SURVIVED
1151, SURVIVED
1152, SURVIVED
1153, SURVIVED
1154, SURVIVED
1155, SURVIVED
1156, SURVIVED
1157, SURVIVED
1158, SURVIVED
1159, SURVIVED
1160, SURVIVED
1161, SURVIVED
1162, SURVIVED
1163, SURVIVED
1164, SURVIVED
1165, SURVIVED
1166, SURVIVED
1167, SURVIVED
1168, SURVIVED
1169, SURVIVED
1170, SURVIVED
1171, SURVIVED
1172, SURVIVED
1173, SURVIVED
1174, SURVIVED
1177, SURVIVED
1178, SURVIVED
1179, SURVIVED
1180, SURVIVED
1181, SURVIVED
1182, SURVIVED
1183, SURVIVED
1184, SURVIVED
1185, SURVIVED
1186, SURVIVED
1187, SURVIVED
1188, SURVIVED
1189, SURVIVED
1190, SURVIVED
1191, SURVIVED
1192, SURVIVED
1193, SURVIVED
1194, SURVIVED
1195, SURVIVED
1196, SURVIVED
1197, SURVIVED
1198, SURVIVED
1199, SURVIVED
1200, SURVIVED
1201, SURVIVED
1202, SURVIVED
1203, SURVIVED
1204, SURVIVED
1205, SURVIVED
1206, SURVIVED
1207, SURVIVED
1208, SURVIVED
1209, SURVIVED
1210, SURVIVED
1211, SURVIVED
1212, SURVIVED
1213, SURVIVED
1214, SURVIVED
1215, SURVIVED
1216, SURVIVED
1217, SURVIVED
1218, SURVIVED
1219, SURVIVED
1220, SURVIVED
1221, SURVIVED
1222, SURVIVED
1223, SURVIVED
1224, SURVIVED
1225, SURVIVED
1226, SURVIVED
1227, SURVIVED
1228, SURVIVED
1229, SURVIVED
1230, SURVIVED
1231, SURVIVED
1232, SURVIVED
1233, SURVIVED
1234, SURVIVED
1235, SURVIVED
1236, SURVIVED
1237, SURVIVED
1238, SURVIVED
1239, SURVIVED
1240, SURVIVED
1241, SURVIVED
1242, SURVIVED
1243, SURVIVED
1244, SURVIVED
1245, SURVIVED
1246, SURVIVED
1247, SURVIVED
1248, SURVIVED
1249, SURVIVED
1250, SURVIVED
1251, SURVIVED
1252, SURVIVED
1253, SURVIVED
1254, SURVIVED
1255, SURVIVED
1256, SURVIVED
1257, SURVIVED
1258, SURVIVED
1259, SURVIVED
1260, SURVIVED
1261, SURVIVED
1262, SURVIVED
1263, SURVIVED
1264, SURVIVED
1265, SURVIVED
1266, SURVIVED
1267, SURVIVED
1268, SURVIVED
1269, SURVIVED
1270, SURVIVED
1271, SURVIVED
1272, SURVIVED
1273, SURVIVED
1274, SURVIVED
1275, SURVIVED
1276, SURVIVED
1277, SURVIVED
1278, SURVIVED
1279, SURVIVED
1280, SURVIVED
1281, SURVIVED
1282, SURVIVED
1283, SURVIVED
1284, SURVIVED
1285, SURVIVED
1286, SURVIVED
1287, SURVIVED
1288, SURVIVED
1289, SURVIVED
1290, SURVIVED
1291, SURVIVED
1292, SURVIVED
1293, SURVIVED
1294, SURVIVED
1295, SURVIVED
1296, SURVIVED
1297, SURVIVED
1298, SURVIVED
1299, SURVIVED
1300, SURVIVED
1301, SURVIVED
1302, SURVIVED
1303, SURVIVED
1304, SURVIVED
1305, SURVIVED
1306, SURVIVED
1307, SURVIVED
1308, SURVIVED
1309, SURVIVED
1310, SURVIVED
1311, SURVIVED
1312, SURVIVED
1313, SURVIVED
1314, SURVIVED
1315, SURVIVED
1316, SURVIVED
1317, SURVIVED
1318, SURVIVED
1319, SURVIVED
1320, SURVIVED
1321, SURVIVED
1322, SURVIVED
1323, SURVIVED
1324, SURVIVED
1325, SURVIVED
1326, SURVIVED
1327, SURVIVED
1328, SURVIVED
1329, SURVIVED
1330, SURVIVED
1331, SURVIVED
1332, SURVIVED
1333, SURVIVED
1334, SURVIVED
1335, SURVIVED
1336, SURVIVED
1337, SURVIVED
1338, SURVIVED
1339, SURVIVED
1340, SURVIVED
1341, SURVIVED
1342, SURVIVED
1343, SURVIVED
1592, SURVIVED
1593, SURVIVED
1594, SURVIVED
1595, SURVIVED
1596, SURVIVED
1597, SURVIVED
1598, SURVIVED
1599, SURVIVED
1600, SURVIVED
1601, SURVIVED
1602, SURVIVED
1603, SURVIVED
1604, SURVIVED
1605, SURVIVED
1606, SURVIVED
1607, SURVIVED
1608, SURVIVED
1609, SURVIVED
1610, SURVIVED
1611, SURVIVED
1612, SURVIVED
1613, SURVIVED
1614, SURVIVED
1615, SURVIVED
1616, SURVIVED
1617, SURVIVED
1618, SURVIVED
1619, SURVIVED
1620, SURVIVED
1621, SURVIVED
1622, SURVIVED
1623, SURVIVED
1624, SURVIVED
1625, SURVIVED
1626, SURVIVED
1627, SURVIVED
1628, SURVIVED
1735, SURVIVED
1736, SURVIVED
1737, SURVIVED
1738, SURVIVED
1739, SURVIVED
1740, SURVIVED
1741, SURVIVED
1742, SURVIVED
1743, SURVIVED
1744, SURVIVED
1745, SURVIVED
1746, SURVIVED
1747, SURVIVED
1748, SURVIVED
1749, SURVIVED
1750, SURVIVED
1751, SURVIVED
1752, SURVIVED
1753, SURVIVED
2453, SURVIVED
2480, INIT_DB_FAIL
2481, INIT_DB_FAIL
2482, INIT_DB_FAIL
2483, SURVIVED
2484, INIT_DB_FAIL
2485, SURVIVED
2486, INIT_DB_FAIL
2487, SURVIVED
2488, SURVIVED
2514, SURVIVED
2515, SURVIVED
2516, SURVIVED
2517, SURVIVED
2518, SURVIVED
2519, SURVIVED
2520, SURVIVED
2521, SURVIVED
2813, SURVIVED
2854, SURVIVED
2855, SURVIVED
2872, SURVIVED
2873, SURVIVED
2874, SURVIVED
2875, SURVIVED
2876, SURVIVED
2877, SURVIVED
2878, SURVIVED
2879, SURVIVED
2880, SURVIVED
2881, SURVIVED
2882, SURVIVED
3955, SURVIVED
3956, SURVIVED
3957, INIT_DB_FAIL
3958, INIT_DB_FAIL
3959, INIT_DB_FAIL
3960, INIT_DB_FAIL
3961, INIT_DB_FAIL
3962, INIT_DB_FAIL
3963, INIT_DB_FAIL
3964, INIT_DB_FAIL
3965, SURVIVED
3966, INIT_DB_FAIL
3967, INIT_DB_FAIL
3968, INIT_DB_FAIL
3969, INIT_DB_FAIL
4013, SURVIVED
4014, SURVIVED
4015, SURVIVED
4016, SURVIVED
4017, SURVIVED
4018, SURVIVED
4019, SURVIVED
4020, SURVIVED
4021, SURVIVED
4022, SURVIVED
4023, SURVIVED
5110, SURVIVED
5111, SURVIVED
5112, SURVIVED
5113, SURVIVED
5114, SURVIVED
5115, SURVIVED
5116, SURVIVED
5117, SURVIVED
5118, SURVIVED
5119, SURVIVED
5120, SURVIVED
5121, SURVIVED
5122, SURVIVED
5123, SURVIVED
5124, SURVIVED
5125, SURVIVED
5126, SURVIVED
5127, SURVIVED
5128, SURVIVED
5129, SURVIVED
5130, SURVIVED
5131, SURVIVED
5132, SURVIVED
5133, SURVIVED
5134, SURVIVED
5135, SURVIVED
5136, SURVIVED
5137, SURVIVED
5138, SURVIVED
5139, SURVIVED
5140, SURVIVED
5141, SURVIVED
5142, SURVIVED
5143, SURVIVED
5144, SURVIVED
5145, SURVIVED
5146, SURVIVED
5147, SURVIVED
5148, SURVIVED
5236, SURVIVED
5237, SURVIVED
5238, SURVIVED
5239, SURVIVED
5240, SURVIVED
5241, SURVIVED
5242, SURVIVED
5243, SURVIVED
5244, SURVIVED
5245, SURVIVED
5246, SURVIVED
5345, SURVIVED
5346, SURVIVED
5347, SURVIVED
5348, SURVIVED
5349, SURVIVED
5350, SURVIVED
5351, SURVIVED
5352, SURVIVED
5353, SURVIVED
5354, SURVIVED
5355, SURVIVED
5356, SURVIVED
5357, SURVIVED
5358, SURVIVED
5359, SURVIVED
5432, SURVIVED
5546, SURVIVED
5547, SURVIVED
5548, SURVIVED
5549, SURVIVED
5550, SURVIVED
5551, SURVIVED
5552, SURVIVED
5553, SURVIVED
5554, SURVIVED
5555, SURVIVED
5556, SURVIVED
5557, SURVIVED
5558, SURVIVED
5559, SURVIVED
5560, SURVIVED
5561, SURVIVED
5644, SURVIVED
5645, SURVIVED
5646, SURVIVED
5647, SURVIVED
5648, SURVIVED
5649, SURVIVED
5650, SURVIVED
5651, SURVIVED
5652, SURVIVED
5653, SURVIVED
5654, SURVIVED
5655, SURVIVED
5656, SURVIVED
5657, SURVIVED
5658, SURVIVED
5659, SURVIVED
5660, SURVIVED
5661, SURVIVED
5662, SURVIVED
5663, SURVIVED
5664, SURVIVED
5665, SURVIVED
5666, SURVIVED
5667, SURVIVED
5668, SURVIVED
5669, SURVIVED
5670, SURVIVED
5671, SURVIVED
5672, SURVIVED
5673, SURVIVED
5674, SURVIVED
5675, SURVIVED
5676, SURVIVED
5677, SURVIVED
5678, SURVIVED
5679, SURVIVED
5680, SURVIVED
5681, SURVIVED
5682, SURVIVED
5683, SURVIVED
5684, SURVIVED
5685, SURVIVED
5686, SURVIVED
5687, SURVIVED
5688, SURVIVED
5689, SURVIVED
5690, SURVIVED
5691, SURVIVED
5692, SURVIVED
5693, SURVIVED
5694, SURVIVED
5695, SURVIVED
5696, SURVIVED
5698, SURVIVED
5699, SURVIVED
5700, SURVIVED
5701, SURVIVED
5702, SURVIVED
5703, SURVIVED
5704, SURVIVED
5705, SURVIVED
5706, SURVIVED
5707, SURVIVED
5708, SURVIVED
5709, SURVIVED
5710, SURVIVED
5711, SURVIVED
5712, SURVIVED
5713, SURVIVED
5714, SURVIVED
5715, SURVIVED
5717, SURVIVED
5718, SURVIVED
5719, SURVIVED
5720, SURVIVED
5721, SURVIVED
5722, SURVIVED
5723, SURVIVED
5724, SURVIVED
5725, SURVIVED
5726, SURVIVED
5727, SURVIVED
5728, SURVIVED
5729, SURVIVED
5730, SURVIVED
5731, SURVIVED
5732, SURVIVED
5733, SURVIVED
5734, SURVIVED
5735, SURVIVED
5736, SURVIVED
5737, SURVIVED
5738, SURVIVED
5739, SURVIVED
5740, SURVIVED
5741, SURVIVED
5742, SURVIVED
5743, SURVIVED
5744, SURVIVED
5745, SURVIVED
5746, SURVIVED
5747, SURVIVED
5748, SURVIVED
5749, SURVIVED
5750, SURVIVED
5751, SURVIVED
5752, SURVIVED
5753, SURVIVED
5754, SURVIVED
5755, SURVIVED
5756, SURVIVED
5757, SURVIVED
5758, SURVIVED
