mutant, status
8805, SURVIVED
8806, SURVIVED
8807, SURVIVED
8808, SURVIVED
8890, SURVIVED
8891, SURVIVED
8892, SURVIVED
8893, SURVIVED
8894, SURVIVED
8895, SURVIVED
8896, SURVIVED
8897, SURVIVED
8898, SURVIVED
8899, SURVIVED
8900, SURVIVED
8901, SURVIVED
8902, SURVIVED
8903, SURVIVED
8904, SURVIVED
8905, SURVIVED
8906, SURVIVED
8907, SURVIVED
8908, SURVIVED
8909, SURVIVED
8910, SURVIVED
8911, SURVIVED
8912, SURVIVED
8913, SURVIVED
8914, SURVIVED
8915, SURVIVED
8916, SURVIVED
8917, SURVIVED
8918, SURVIVED
8919, SURVIVED
8920, SURVIVED
8921, SURVIVED
8922, SURVIVED
8923, SURVIVED
8924, SURVIVED
8925, SURVIVED
8926, SURVIVED
8927, SURVIVED
8928, SURVIVED
8929, SURVIVED
8930, SURVIVED
8931, SURVIVED
8932, SURVIVED
8933, SURVIVED
8934, SURVIVED
8935, SURVIVED
8936, SURVIVED
8937, SURVIVED
8938, SURVIVED
8939, SURVIVED
8940, SURVIVED
8941, SURVIVED
8942, SURVIVED
8943, SURVIVED
8944, SURVIVED
8945, SURVIVED
8946, SURVIVED
8947, SURVIVED
8948, SURVIVED
8949, SURVIVED
8950, SURVIVED
8951, SURVIVED
8952, SURVIVED
