mutant, status
9863, SURVIVED
9864, SURVIVED
9865, SURVIVED
9866, SURVIVED
9867, SURVIVED
9868, SURVIVED
9869, SURVIVED
9870, SURVIVED
9871, SURVIVED
9926, SURVIVED
9927, SURVIVED
9928, SURVIVED
9929, SURVIVED
9930, SURVIVED
9931, SURVIVED
9932, SURVIVED
9933, SURVIVED
9934, SURVIVED
9935, SURVIVED
9936, SURVIVED
9937, SURVIVED
9938, SURVIVED
9939, SURVIVED
9969, SURVIVED
9970, SURVIVED
9971, SURVIVED
9972, SURVIVED
9973, SURVIVED
9974, SURVIVED
9975, SURVIVED
9976, SURVIVED
10017, SURVIVED
10018, SURVIVED
10019, INIT_DB_FAIL
10020, INIT_DB_FAIL
10021, TIMEOUT_KILL
