mutant, status
42833, STDOUT_DIFF_KILL
42834, SURVIVED
42835, STDOUT_DIFF_KILL
42836, SURVIVED
42837, STDOUT_DIFF_KILL
42838, SURVIVED
42839, STDOUT_DIFF_KILL
42840, STDOUT_DIFF_KILL
43388, STDOUT_DIFF_KILL
43389, STDOUT_DIFF_KILL
43390, SURVIVED
43391, STDOUT_DIFF_KILL
43392, SURVIVED
43393, STDOUT_DIFF_KILL
43394, SURVIVED
43395, STDOUT_DIFF_KILL
43396, STDOUT_DIFF_KILL
43397, STDOUT_DIFF_KILL
43398, STDOUT_DIFF_KILL
43399, STDOUT_DIFF_KILL
43400, SURVIVED
43735, SURVIVED
43736, SURVIVED
43737, SURVIVED
43738, SURVIVED
43739, SURVIVED
43740, SURVIVED
43741, SURVIVED
43742, SURVIVED
43743, SURVIVED
43744, SURVIVED
43745, SURVIVED
43746, SURVIVED
43747, SURVIVED
43748, SURVIVED
43749, SURVIVED
43750, SURVIVED
43751, SURVIVED
43752, SURVIVED
43753, SURVIVED
43754, SURVIVED
43755, SURVIVED
43756, SURVIVED
43757, SURVIVED
43758, SURVIVED
43759, SURVIVED
43760, SURVIVED
43761, SURVIVED
43762, SURVIVED
43763, SURVIVED
43764, SURVIVED
43765, SURVIVED
43766, SURVIVED
43767, SURVIVED
43768, SURVIVED
