mutant, status
18522, SURVIVED
18523, SURVIVED
18524, SURVIVED
18525, RETURNCODE_DIFF_KILL
18526, SURVIVED
18527, SURVIVED
18528, SURVIVED
18529, SURVIVED
18530, SURVIVED
18531, RETURNCODE_DIFF_KILL
18532, TIMEOUT_KILL
18533, RETURNCODE_DIFF_KILL
18534, RETURNCODE_DIFF_KILL
18535, TIMEOUT_KILL
18536, RETURNCODE_DIFF_KILL
18537, SURVIVED
18538, SURVIVED
18539, SURVIVED
18540, SURVIVED
18541, SURVIVED
68962, SURVIVED
68963, SURVIVED
68964, SURVIVED
68967, SURVIVED
68968, SURVIVED
68974, SURVIVED
68975, SURVIVED
68976, SURVIVED
68977, SURVIVED
69027, SURVIVED
69196, SURVIVED
69198, SURVIVED
69199, SURVIVED
69200, SURVIVED
69201, SURVIVED
69202, SURVIVED
69203, SURVIVED
69204, SURVIVED
69205, SURVIVED
69206, SURVIVED
69207, SURVIVED
69208, SURVIVED
69209, SURVIVED
69210, SURVIVED
69211, SURVIVED
69212, SURVIVED
69213, SURVIVED
69223, SURVIVED
69240, SURVIVED
69251, SURVIVED
69252, SURVIVED
69253, SURVIVED
69254, SURVIVED
69255, SURVIVED
69256, SURVIVED
69305, SURVIVED
69306, SURVIVED
69307, SURVIVED
