mutant, status
987, SURVIVED
988, SURVIVED
989, SURVIVED
990, SURVIVED
991, SURVIVED
992, SURVIVED
993, SURVIVED
994, SURVIVED
995, SURVIVED
996, SURVIVED
997, SURVIVED
998, SURVIVED
999, SURVIVED
1000, SURVIVED
1001, SURVIVED
1002, SURVIVED
1003, SURVIVED
1004, SURVIVED
1005, SURVIVED
1063, SURVIVED
1064, SURVIVED
1065, SURVIVED
1066, SURVIVED
1067, SURVIVED
1068, SURVIVED
1069, SURVIVED
1070, SURVIVED
1071, SURVIVED
1072, SURVIVED
1073, SURVIVED
1074, SURVIVED
1075, SURVIVED
1076, SURVIVED
1077, SURVIVED
1078, SURVIVED
1079, SURVIVED
1080, SURVIVED
1081, SURVIVED
1082, SURVIVED
1083, SURVIVED
1084, SURVIVED
1085, SURVIVED
1086, SURVIVED
1087, SURVIVED
1088, INIT_DB_FAIL
1089, INIT_DB_FAIL
1090, INIT_DB_FAIL
1091, INIT_DB_FAIL
1092, INIT_DB_FAIL
1093, SURVIVED
1094, SURVIVED
1095, SURVIVED
1287, INIT_DB_FAIL
1288, INIT_DB_FAIL
1289, INIT_DB_FAIL
1290, INIT_DB_FAIL
1291, INIT_DB_FAIL
1292, INIT_DB_FAIL
1294, INIT_DB_FAIL
1500, SURVIVED
1501, SURVIVED
1502, SURVIVED
1503, SURVIVED
1504, INIT_DB_FAIL
1505, INIT_DB_FAIL
1507, INIT_DB_FAIL
1508, SURVIVED
1509, SURVIVED
1510, SURVIVED
1511, SURVIVED
1512, SURVIVED
1513, SURVIVED
1514, SURVIVED
1515, SURVIVED
1516, SURVIVED
1517, SURVIVED
1518, SURVIVED
1519, SURVIVED
1520, SURVIVED
1521, SURVIVED
1522, SURVIVED
1523, SURVIVED
1524, SURVIVED
1525, SURVIVED
1526, SURVIVED
1527, SURVIVED
1528, SURVIVED
1529, SURVIVED
1530, SURVIVED
1531, SURVIVED
1532, SURVIVED
1533, SURVIVED
1534, SURVIVED
1535, SURVIVED
1536, SURVIVED
1537, SURVIVED
1538, SURVIVED
1539, SURVIVED
1540, SURVIVED
1541, SURVIVED
1542, SURVIVED
1543, SURVIVED
1544, SURVIVED
1545, SURVIVED
1546, SURVIVED
1547, SURVIVED
1574, SURVIVED
1575, SURVIVED
1576, SURVIVED
1577, SURVIVED
1578, SURVIVED
1579, SURVIVED
1580, SURVIVED
1581, SURVIVED
1582, SURVIVED
1583, SURVIVED
1584, SURVIVED
1585, SURVIVED
1586, SURVIVED
1587, SURVIVED
1588, SURVIVED
1589, SURVIVED
1590, SURVIVED
1591, SURVIVED
1592, SURVIVED
1593, SURVIVED
1594, SURVIVED
1595, SURVIVED
1596, SURVIVED
1597, SURVIVED
1598, SURVIVED
1599, SURVIVED
1600, SURVIVED
1601, SURVIVED
1602, SURVIVED
1603, SURVIVED
1604, SURVIVED
1605, SURVIVED
1606, SURVIVED
1607, SURVIVED
1608, SURVIVED
1609, SURVIVED
1610, SURVIVED
1611, SURVIVED
1612, SURVIVED
1613, SURVIVED
1614, SURVIVED
1615, SURVIVED
1616, SURVIVED
1617, SURVIVED
1618, SURVIVED
1619, SURVIVED
1620, SURVIVED
1621, SURVIVED
1622, SURVIVED
1623, SURVIVED
1624, SURVIVED
1625, SURVIVED
1626, SURVIVED
1714, SURVIVED
1715, SURVIVED
1716, SURVIVED
1717, SURVIVED
1718, SURVIVED
1719, SURVIVED
1720, SURVIVED
1721, SURVIVED
1722, SURVIVED
1723, SURVIVED
1724, SURVIVED
1725, SURVIVED
1726, SURVIVED
2165, SURVIVED
2166, SURVIVED
2167, SURVIVED
2168, SURVIVED
2169, SURVIVED
2170, SURVIVED
2171, SURVIVED
2172, SURVIVED
2173, SURVIVED
2174, SURVIVED
2175, SURVIVED
2176, SURVIVED
2177, SURVIVED
2178, SURVIVED
2179, SURVIVED
2180, SURVIVED
2181, SURVIVED
2182, SURVIVED
2183, SURVIVED
2184, SURVIVED
2185, SURVIVED
2186, SURVIVED
2187, SURVIVED
2188, SURVIVED
2189, SURVIVED
2190, SURVIVED
2191, SURVIVED
2192, SURVIVED
2193, SURVIVED
2194, SURVIVED
2195, SURVIVED
2196, SURVIVED
2197, SURVIVED
2198, SURVIVED
2201, SURVIVED
2202, SURVIVED
2838, SURVIVED
2839, SURVIVED
2840, SURVIVED
2841, SURVIVED
2842, SURVIVED
2843, SURVIVED
2844, SURVIVED
2845, SURVIVED
2846, SURVIVED
2847, SURVIVED
2848, SURVIVED
2849, SURVIVED
2850, SURVIVED
2851, SURVIVED
7511, SURVIVED
7703, SURVIVED
7704, SURVIVED
7730, SURVIVED
7731, SURVIVED
7732, SURVIVED
7733, SURVIVED
7734, SURVIVED
7735, SURVIVED
7736, SURVIVED
7737, SURVIVED
7738, SURVIVED
7739, SURVIVED
7740, SURVIVED
7741, SURVIVED
7742, SURVIVED
7743, SURVIVED
7744, SURVIVED
7745, SURVIVED
7746, SURVIVED
7747, SURVIVED
7748, SURVIVED
7771, SURVIVED
7772, SURVIVED
7773, SURVIVED
7774, SURVIVED
7775, SURVIVED
7776, SURVIVED
7777, SURVIVED
7778, SURVIVED
7779, SURVIVED
7780, SURVIVED
7781, SURVIVED
7782, SURVIVED
7783, SURVIVED
7784, SURVIVED
7785, SURVIVED
7786, SURVIVED
7787, SURVIVED
7788, SURVIVED
7789, SURVIVED
7790, SURVIVED
7791, SURVIVED
8364, SURVIVED
8365, SURVIVED
8366, SURVIVED
8367, SURVIVED
8493, INIT_DB_FAIL
8494, INIT_DB_FAIL
8495, INIT_DB_FAIL
8496, INIT_DB_FAIL
8497, INIT_DB_FAIL
8498, INIT_DB_FAIL
8499, INIT_DB_FAIL
8500, INIT_DB_FAIL
8501, INIT_DB_FAIL
8502, INIT_DB_FAIL
8503, INIT_DB_FAIL
8504, INIT_DB_FAIL
8505, INIT_DB_FAIL
8506, INIT_DB_FAIL
8507, INIT_DB_FAIL
8508, INIT_DB_FAIL
8509, INIT_DB_FAIL
8510, INIT_DB_FAIL
8511, INIT_DB_FAIL
9104, SURVIVED
9105, SURVIVED
9106, SURVIVED
9107, SURVIVED
9108, SURVIVED
9109, SURVIVED
9110, SURVIVED
9111, SURVIVED
9112, SURVIVED
9113, SURVIVED
9114, SURVIVED
9115, SURVIVED
9116, SURVIVED
9117, SURVIVED
9118, SURVIVED
9119, SURVIVED
9120, SURVIVED
9121, SURVIVED
9122, SURVIVED
9123, SURVIVED
9124, SURVIVED
9125, SURVIVED
9126, SURVIVED
9127, SURVIVED
9128, SURVIVED
9129, SURVIVED
9130, SURVIVED
9131, SURVIVED
9132, SURVIVED
9133, SURVIVED
9134, SURVIVED
9135, SURVIVED
9136, SURVIVED
9137, SURVIVED
9138, SURVIVED
9139, SURVIVED
9140, SURVIVED
9141, SURVIVED
9142, SURVIVED
9143, SURVIVED
9144, SURVIVED
9145, SURVIVED
9146, SURVIVED
9147, SURVIVED
9148, SURVIVED
9149, SURVIVED
9150, SURVIVED
9151, SURVIVED
9152, SURVIVED
9153, SURVIVED
9154, SURVIVED
9155, SURVIVED
9156, SURVIVED
