mutant, status
5158, SURVIVED
5160, SURVIVED
5161, INIT_DB_FAIL
5162, INIT_DB_FAIL
5163, SURVIVED
5169, SURVIVED
5171, SURVIVED
5174, SURVIVED
5175, SURVIVED
5177, SURVIVED
5178, SURVIVED
5182, SURVIVED
23878, SURVIVED
23879, SURVIVED
23880, SURVIVED
52921, INIT_DB_FAIL
52922, INIT_DB_FAIL
53273, INIT_DB_FAIL
53274, INIT_DB_FAIL
53277, INIT_DB_FAIL
53278, INIT_DB_FAIL
53282, INIT_DB_FAIL
53283, INIT_DB_FAIL
53286, INIT_DB_FAIL
53287, INIT_DB_FAIL
53289, INIT_DB_FAIL
53290, INIT_DB_FAIL
53292, SURVIVED
53293, INIT_DB_FAIL
53294, INIT_DB_FAIL
53295, SURVIVED
53296, INIT_DB_FAIL
53297, INIT_DB_FAIL
53298, SURVIVED
53299, SURVIVED
53300, INIT_DB_FAIL
53301, INIT_DB_FAIL
53302, SURVIVED
53303, INIT_DB_FAIL
60192, SURVIVED
