mutant, status
61307, SURVIVED
61308, SURVIVED
61309, SURVIVED
61310, SURVIVED
61311, SURVIVED
61312, SURVIVED
61313, SURVIVED
61314, SURVIVED
61315, SURVIVED
61316, SURVIVED
61317, SURVIVED
61318, SURVIVED
61319, SURVIVED
61320, SURVIVED
61321, SURVIVED
61322, SURVIVED
61323, SURVIVED
61324, SURVIVED
61325, SURVIVED
61326, SURVIVED
61327, SURVIVED
61328, SURVIVED
61329, SURVIVED
61330, SURVIVED
61331, SURVIVED
61332, SURVIVED
61333, SURVIVED
61334, SURVIVED
61335, SURVIVED
61336, SURVIVED
61337, SURVIVED
61338, SURVIVED
61339, SURVIVED
61340, SURVIVED
61341, SURVIVED
61342, SURVIVED
