mutant, status
4707, SURVIVED
4708, SURVIVED
4709, SURVIVED
4710, SURVIVED
4711, SURVIVED
4712, SURVIVED
4713, SURVIVED
4714, SURVIVED
4715, SURVIVED
4716, SURVIVED
4717, SURVIVED
4718, SURVIVED
4719, SURVIVED
4720, SURVIVED
4721, SURVIVED
4722, SURVIVED
4723, SURVIVED
4724, SURVIVED
4725, SURVIVED
4726, SURVIVED
4727, SURVIVED
4728, SURVIVED
4729, SURVIVED
4730, SURVIVED
4731, SURVIVED
4732, SURVIVED
4733, SURVIVED
4734, SURVIVED
4735, SURVIVED
4736, SURVIVED
4737, SURVIVED
4738, SURVIVED
4739, SURVIVED
4740, SURVIVED
4741, SURVIVED
4742, SURVIVED
4743, SURVIVED
4744, SURVIVED
4745, SURVIVED
4746, SURVIVED
4747, SURVIVED
4748, SURVIVED
4749, SURVIVED
4750, SURVIVED
4751, SURVIVED
4752, SURVIVED
4753, SURVIVED
4754, SURVIVED
4755, SURVIVED
4756, SURVIVED
4757, SURVIVED
4758, SURVIVED
4759, SURVIVED
4760, SURVIVED
4761, SURVIVED
4762, SURVIVED
4763, SURVIVED
4764, SURVIVED
4765, RETURNCODE_DIFF_KILL
