mutant, status
42289, STDOUT_DIFF_KILL
42290, TIMEOUT_KILL
42293, TIMEOUT_KILL
42296, SURVIVED
42297, SURVIVED
42298, SURVIVED
42299, TIMEOUT_KILL
42300, STDOUT_DIFF_KILL
42301, TIMEOUT_KILL
42302, RETURNCODE_DIFF_KILL
42303, RETURNCODE_DIFF_KILL
42304, RETURNCODE_DIFF_KILL
42305, SURVIVED
42306, SURVIVED
42307, RETURNCODE_DIFF_KILL
42308, RETURNCODE_DIFF_KILL
42309, STDOUT_DIFF_KILL
42310, STDOUT_DIFF_KILL
42311, STDOUT_DIFF_KILL
42312, SURVIVED
42313, STDOUT_DIFF_KILL
42314, SURVIVED
42315, SURVIVED
42316, INIT_DB_FAIL
42317, SURVIVED
42318, STDOUT_DIFF_KILL
42319, SURVIVED
42320, SURVIVED
42321, STDOUT_DIFF_KILL
42322, STDOUT_DIFF_KILL
42328, SURVIVED
