mutant, status
4343, STDOUT_DIFF_KILL
4528, SURVIVED
4529, SURVIVED
4530, SURVIVED
4544, SURVIVED
4552, SURVIVED
4553, SURVIVED
4614, SURVIVED
4615, SURVIVED
4616, SURVIVED
4617, SURVIVED
4618, SURVIVED
4619, SURVIVED
4620, SURVIVED
4621, SURVIVED
4622, SURVIVED
4623, SURVIVED
4624, SURVIVED
4625, SURVIVED
4626, SURVIVED
4627, SURVIVED
4628, SURVIVED
4629, SURVIVED
4630, SURVIVED
4631, SURVIVED
4632, SURVIVED
4633, SURVIVED
4634, SURVIVED
4635, SURVIVED
4636, SURVIVED
4637, SURVIVED
4638, SURVIVED
4639, SURVIVED
4640, SURVIVED
4641, SURVIVED
4642, SURVIVED
4643, SURVIVED
4644, SURVIVED
4645, SURVIVED
4646, SURVIVED
4647, SURVIVED
4648, SURVIVED
4649, SURVIVED
4650, SURVIVED
4651, SURVIVED
4652, SURVIVED
4653, SURVIVED
4654, SURVIVED
4655, SURVIVED
4656, SURVIVED
4657, SURVIVED
4658, SURVIVED
4659, SURVIVED
4660, SURVIVED
4661, SURVIVED
4662, SURVIVED
4663, SURVIVED
4664, SURVIVED
4665, SURVIVED
4666, SURVIVED
4667, SURVIVED
4668, SURVIVED
4669, SURVIVED
4670, SURVIVED
4671, SURVIVED
4672, SURVIVED
4673, SURVIVED
4674, SURVIVED
4675, SURVIVED
4676, SURVIVED
4677, SURVIVED
4678, SURVIVED
4679, SURVIVED
4680, SURVIVED
4681, SURVIVED
4682, SURVIVED
4683, SURVIVED
5074, SURVIVED
5075, SURVIVED
8313, SURVIVED
8314, SURVIVED
8316, STDOUT_DIFF_KILL
8318, STDOUT_DIFF_KILL
8320, STDOUT_DIFF_KILL
8322, STDOUT_DIFF_KILL
8323, STDOUT_DIFF_KILL
8325, STDOUT_DIFF_KILL
8329, STDOUT_DIFF_KILL
8330, SURVIVED
8332, STDOUT_DIFF_KILL
8333, STDOUT_DIFF_KILL
8334, STDOUT_DIFF_KILL
8335, STDOUT_DIFF_KILL
8336, SURVIVED
8338, STDOUT_DIFF_KILL
8339, SURVIVED
8341, STDOUT_DIFF_KILL
8342, STDOUT_DIFF_KILL
8344, STDOUT_DIFF_KILL
8346, STDOUT_DIFF_KILL
8348, STDOUT_DIFF_KILL
8350, STDOUT_DIFF_KILL
8352, STDOUT_DIFF_KILL
8354, STDOUT_DIFF_KILL
8357, STDOUT_DIFF_KILL
8409, STDOUT_DIFF_KILL
8412, SURVIVED
8415, SURVIVED
8416, SURVIVED
8418, SURVIVED
8419, SURVIVED
8424, STDOUT_DIFF_KILL
8428, STDOUT_DIFF_KILL
8429, STDOUT_DIFF_KILL
8432, STDOUT_DIFF_KILL
8433, SURVIVED
8435, STDOUT_DIFF_KILL
8436, STDOUT_DIFF_KILL
8437, STDOUT_DIFF_KILL
8438, STDOUT_DIFF_KILL
8439, SURVIVED
8441, STDOUT_DIFF_KILL
8444, STDOUT_DIFF_KILL
8445, STDOUT_DIFF_KILL
8447, STDOUT_DIFF_KILL
8449, STDOUT_DIFF_KILL
8451, STDOUT_DIFF_KILL
8453, STDOUT_DIFF_KILL
8455, STDOUT_DIFF_KILL
8457, STDOUT_DIFF_KILL
8458, STDOUT_DIFF_KILL
8459, SURVIVED
8460, SURVIVED
8461, SURVIVED
8507, STDOUT_DIFF_KILL
8508, STDOUT_DIFF_KILL
8509, SURVIVED
8510, STDOUT_DIFF_KILL
8512, STDOUT_DIFF_KILL
8514, STDOUT_DIFF_KILL
8515, SURVIVED
8516, STDOUT_DIFF_KILL
8517, STDOUT_DIFF_KILL
8518, STDOUT_DIFF_KILL
8519, STDOUT_DIFF_KILL
8520, SURVIVED
8521, SURVIVED
8522, SURVIVED
8523, STDOUT_DIFF_KILL
8526, SURVIVED
8527, STDOUT_DIFF_KILL
8529, STDOUT_DIFF_KILL
8538, STDOUT_DIFF_KILL
8540, STDOUT_DIFF_KILL
8541, SURVIVED
8542, STDOUT_DIFF_KILL
8544, STDOUT_DIFF_KILL
24881, SURVIVED
24882, SURVIVED
24883, SURVIVED
24884, SURVIVED
24885, SURVIVED
24886, SURVIVED
24887, SURVIVED
24888, SURVIVED
24889, SURVIVED
24890, SURVIVED
24891, SURVIVED
24892, SURVIVED
24893, SURVIVED
24894, SURVIVED
24895, SURVIVED
24896, SURVIVED
24897, SURVIVED
24898, SURVIVED
24899, SURVIVED
24900, SURVIVED
24901, SURVIVED
24902, SURVIVED
24903, SURVIVED
24904, SURVIVED
24905, SURVIVED
24906, SURVIVED
24907, SURVIVED
24908, SURVIVED
24909, SURVIVED
24910, SURVIVED
24911, SURVIVED
24912, SURVIVED
24913, SURVIVED
24914, SURVIVED
24915, SURVIVED
24916, SURVIVED
24917, SURVIVED
24918, SURVIVED
26319, SURVIVED
26320, SURVIVED
26321, SURVIVED
26322, SURVIVED
26323, SURVIVED
26324, SURVIVED
26325, SURVIVED
26326, SURVIVED
26327, STDOUT_DIFF_KILL
26328, STDOUT_DIFF_KILL
36208, SURVIVED
36209, SURVIVED
36210, SURVIVED
36670, SURVIVED
36671, SURVIVED
36672, SURVIVED
36673, SURVIVED
36674, SURVIVED
36675, SURVIVED
36676, SURVIVED
36688, SURVIVED
36689, SURVIVED
36690, SURVIVED
36691, SURVIVED
36692, SURVIVED
36693, SURVIVED
36694, SURVIVED
36695, SURVIVED
36696, RETURNCODE_DIFF_KILL
36735, SURVIVED
37250, SURVIVED
37251, SURVIVED
