mutant, status
17057, SURVIVED
17058, SURVIVED
17059, SURVIVED
17060, SURVIVED
17061, SURVIVED
17062, SURVIVED
17063, SURVIVED
17064, SURVIVED
17065, SURVIVED
17066, SURVIVED
17067, SURVIVED
17106, CREATE_DB_FAIL
17111, SURVIVED
17113, SURVIVED
17119, SURVIVED
17120, SURVIVED
17133, SURVIVED
17134, SURVIVED
17135, SURVIVED
17138, CREATE_DB_FAIL
17143, SURVIVED
17145, SURVIVED
17151, SURVIVED
17152, SURVIVED
17162, SURVIVED
17163, SURVIVED
17165, SURVIVED
17166, SURVIVED
17175, SURVIVED
17176, SURVIVED
17177, SURVIVED
17179, SURVIVED
17183, SURVIVED
17184, SURVIVED
17187, SURVIVED
17188, SURVIVED
