mutant, status
1517, INIT_DB_FAIL
1518, INIT_DB_FAIL
1519, INIT_DB_FAIL
1520, INIT_DB_FAIL
1521, SURVIVED
1522, INIT_DB_FAIL
1523, INIT_DB_FAIL
1524, SURVIVED
1525, INIT_DB_FAIL
1526, INIT_DB_FAIL
1527, INIT_DB_FAIL
1528, SURVIVED
1529, SURVIVED
1530, SURVIVED
1531, SURVIVED
1532, SURVIVED
1533, SURVIVED
1534, SURVIVED
1544, INIT_DB_FAIL
1545, INIT_DB_FAIL
1546, INIT_DB_FAIL
1547, INIT_DB_FAIL
1548, INIT_DB_FAIL
1549, INIT_DB_FAIL
1550, INIT_DB_FAIL
1551, INIT_DB_FAIL
1552, INIT_DB_FAIL
1553, INIT_DB_FAIL
1554, INIT_DB_FAIL
1555, INIT_DB_FAIL
1556, INIT_DB_FAIL
1557, SURVIVED
1558, SURVIVED
1559, SURVIVED
1560, INIT_DB_FAIL
1561, INIT_DB_FAIL
1733, SURVIVED
1734, SURVIVED
1735, SURVIVED
1736, SURVIVED
1737, SURVIVED
1738, SURVIVED
1739, SURVIVED
1740, SURVIVED
1741, SURVIVED
1742, SURVIVED
1743, SURVIVED
1744, SURVIVED
1745, SURVIVED
1746, SURVIVED
1747, SURVIVED
1748, SURVIVED
1749, SURVIVED
1750, SURVIVED
2791, SURVIVED
2792, SURVIVED
2793, SURVIVED
2794, SURVIVED
2795, SURVIVED
2796, SURVIVED
2797, SURVIVED
2798, SURVIVED
2799, SURVIVED
2800, SURVIVED
2801, SURVIVED
2802, SURVIVED
2803, SURVIVED
2804, SURVIVED
2805, SURVIVED
2806, SURVIVED
2807, SURVIVED
2808, SURVIVED
3035, SURVIVED
3036, SURVIVED
3037, SURVIVED
3038, SURVIVED
3039, SURVIVED
3040, SURVIVED
3041, SURVIVED
3042, SURVIVED
3043, SURVIVED
3044, SURVIVED
3045, SURVIVED
3046, SURVIVED
3047, SURVIVED
3048, SURVIVED
3244, SURVIVED
3245, SURVIVED
3246, SURVIVED
3247, SURVIVED
3248, SURVIVED
3249, SURVIVED
3250, SURVIVED
3251, SURVIVED
3252, SURVIVED
3253, SURVIVED
3254, SURVIVED
3264, SURVIVED
3276, SURVIVED
3277, SURVIVED
3278, SURVIVED
3279, SURVIVED
3534, INIT_DB_FAIL
3535, INIT_DB_FAIL
3536, SURVIVED
3537, INIT_DB_FAIL
3538, INIT_DB_FAIL
3539, INIT_DB_FAIL
3540, SURVIVED
3541, INIT_DB_FAIL
3542, INIT_DB_FAIL
3543, INIT_DB_FAIL
3544, INIT_DB_FAIL
3545, SURVIVED
3546, SURVIVED
3547, SURVIVED
3548, SURVIVED
3549, SURVIVED
3550, SURVIVED
3551, INIT_DB_FAIL
