mutant, status
17578, SURVIVED
17579, SURVIVED
17580, SURVIVED
17581, SURVIVED
17582, SURVIVED
17583, SURVIVED
17584, SURVIVED
17585, SURVIVED
17586, SURVIVED
17587, SURVIVED
17588, SURVIVED
17589, SURVIVED
17590, SURVIVED
17591, SURVIVED
17592, SURVIVED
17593, SURVIVED
17594, SURVIVED
17595, SURVIVED
17596, SURVIVED
17597, SURVIVED
17598, SURVIVED
17599, SURVIVED
17600, SURVIVED
17601, SURVIVED
17602, SURVIVED
17603, SURVIVED
17604, SURVIVED
17605, SURVIVED
17606, SURVIVED
17607, SURVIVED
17608, STDOUT_DIFF_KILL
17609, STDOUT_DIFF_KILL
17610, STDOUT_DIFF_KILL
17611, STDOUT_DIFF_KILL
17612, STDOUT_DIFF_KILL
17613, SURVIVED
17614, STDOUT_DIFF_KILL
17615, STDOUT_DIFF_KILL
17616, SURVIVED
17617, STDOUT_DIFF_KILL
17618, STDOUT_DIFF_KILL
17619, SURVIVED
17620, SURVIVED
17621, SURVIVED
17622, SURVIVED
17623, SURVIVED
17624, SURVIVED
17625, SURVIVED
17626, SURVIVED
17627, SURVIVED
17628, SURVIVED
17629, SURVIVED
17630, SURVIVED
17631, SURVIVED
17632, SURVIVED
17633, SURVIVED
17634, SURVIVED
17635, SURVIVED
17636, SURVIVED
17637, SURVIVED
17638, SURVIVED
