mutant, status
11015, SURVIVED
11016, STDOUT_DIFF_KILL
11017, STDOUT_DIFF_KILL
11018, SURVIVED
11019, STDOUT_DIFF_KILL
11020, SURVIVED
11021, SURVIVED
11022, SURVIVED
11023, SURVIVED
11024, SURVIVED
11025, SURVIVED
11026, SURVIVED
11027, SURVIVED
11028, SURVIVED
11029, SURVIVED
11030, SURVIVED
11031, STDOUT_DIFF_KILL
11032, SURVIVED
11033, SURVIVED
11034, SURVIVED
11035, STDOUT_DIFF_KILL
11036, STDOUT_DIFF_KILL
11037, SURVIVED
11038, SURVIVED
11039, SURVIVED
11040, STDOUT_DIFF_KILL
11041, SURVIVED
11042, SURVIVED
11043, STDOUT_DIFF_KILL
11044, SURVIVED
11045, STDOUT_DIFF_KILL
11046, SURVIVED
11047, SURVIVED
11048, STDOUT_DIFF_KILL
11049, SURVIVED
11050, SURVIVED
11051, STDOUT_DIFF_KILL
11052, SURVIVED
11053, SURVIVED
11054, STDOUT_DIFF_KILL
11055, STDOUT_DIFF_KILL
11056, STDOUT_DIFF_KILL
11057, SURVIVED
11058, SURVIVED
11059, SURVIVED
11060, SURVIVED
11061, STDOUT_DIFF_KILL
11062, SURVIVED
11063, STDOUT_DIFF_KILL
11064, SURVIVED
11074, RETURNCODE_DIFF_KILL
11075, STDOUT_DIFF_KILL
11076, SURVIVED
11077, SURVIVED
11078, SURVIVED
11079, SURVIVED
11080, STDOUT_DIFF_KILL
11081, STDOUT_DIFF_KILL
11082, STDOUT_DIFF_KILL
11083, STDOUT_DIFF_KILL
11084, STDOUT_DIFF_KILL
11085, RETURNCODE_DIFF_KILL
11086, SURVIVED
11087, STDOUT_DIFF_KILL
