mutant, status
13, SURVIVED
14, SURVIVED
15, SURVIVED
1159, SURVIVED
1160, SURVIVED
1161, SURVIVED
1162, SURVIVED
1163, SURVIVED
1164, SURVIVED
1165, SURVIVED
1166, SURVIVED
1167, SURVIVED
1168, SURVIVED
1169, SURVIVED
1170, SURVIVED
1171, SURVIVED
1226, SURVIVED
1227, SURVIVED
1228, SURVIVED
1229, SURVIVED
1230, SURVIVED
1231, SURVIVED
1232, SURVIVED
1233, SURVIVED
1234, SURVIVED
1235, SURVIVED
1236, SURVIVED
1237, SURVIVED
1238, SURVIVED
1478, SURVIVED
1479, SURVIVED
1480, SURVIVED
1481, SURVIVED
1482, SURVIVED
1483, SURVIVED
1484, SURVIVED
1485, SURVIVED
1486, SURVIVED
1487, SURVIVED
1488, SURVIVED
1489, SURVIVED
1490, SURVIVED
1491, SURVIVED
1492, SURVIVED
1493, SURVIVED
1494, SURVIVED
1495, SURVIVED
1496, SURVIVED
1497, SURVIVED
1498, SURVIVED
1499, SURVIVED
1500, SURVIVED
1501, SURVIVED
1502, SURVIVED
1503, SURVIVED
1504, SURVIVED
1505, SURVIVED
1506, SURVIVED
1507, SURVIVED
1508, SURVIVED
1509, SURVIVED
1510, SURVIVED
1511, SURVIVED
1512, SURVIVED
1517, SURVIVED
1518, SURVIVED
1519, SURVIVED
1520, SURVIVED
1521, SURVIVED
1522, SURVIVED
1523, SURVIVED
1524, SURVIVED
1525, SURVIVED
1526, SURVIVED
1527, SURVIVED
1528, SURVIVED
1529, SURVIVED
1530, SURVIVED
1531, SURVIVED
1532, SURVIVED
1533, SURVIVED
1534, SURVIVED
1535, SURVIVED
1536, SURVIVED
1537, SURVIVED
1538, SURVIVED
1539, SURVIVED
1540, SURVIVED
1541, SURVIVED
1542, SURVIVED
1543, SURVIVED
1544, SURVIVED
1553, SURVIVED
1554, SURVIVED
1555, SURVIVED
1556, SURVIVED
1693, SURVIVED
1694, SURVIVED
1695, SURVIVED
1696, SURVIVED
1697, SURVIVED
1698, SURVIVED
1699, SURVIVED
1700, SURVIVED
1701, SURVIVED
1702, SURVIVED
1703, SURVIVED
1704, SURVIVED
1705, SURVIVED
1706, SURVIVED
1707, SURVIVED
1708, SURVIVED
1709, SURVIVED
1710, SURVIVED
1711, SURVIVED
1712, SURVIVED
1713, SURVIVED
1714, SURVIVED
1715, SURVIVED
1765, SURVIVED
1780, SURVIVED
1781, SURVIVED
1782, SURVIVED
1792, SURVIVED
1793, SURVIVED
1794, SURVIVED
1795, SURVIVED
1796, SURVIVED
1797, SURVIVED
