mutant, status
35, INIT_DB_FAIL
36, INIT_DB_FAIL
37, INIT_DB_FAIL
38, INIT_DB_FAIL
39, INIT_DB_FAIL
40, SURVIVED
41, SURVIVED
42, INIT_DB_FAIL
43, INIT_DB_FAIL
44, INIT_DB_FAIL
45, INIT_DB_FAIL
46, INIT_DB_FAIL
47, SURVIVED
48, INIT_DB_FAIL
49, SURVIVED
50, SURVIVED
51, SURVIVED
52, SURVIVED
53, SURVIVED
54, SURVIVED
55, SURVIVED
92, INIT_DB_FAIL
93, SURVIVED
94, SURVIVED
95, SURVIVED
96, INIT_DB_FAIL
97, SURVIVED
98, INIT_DB_FAIL
99, SURVIVED
100, SURVIVED
101, SURVIVED
102, SURVIVED
103, SURVIVED
104, SURVIVED
105, SURVIVED
106, SURVIVED
182, INIT_DB_FAIL
183, INIT_DB_FAIL
184, INIT_DB_FAIL
185, INIT_DB_FAIL
186, INIT_DB_FAIL
187, INIT_DB_FAIL
188, SURVIVED
189, INIT_DB_FAIL
190, INIT_DB_FAIL
191, INIT_DB_FAIL
192, SURVIVED
193, SURVIVED
194, SURVIVED
195, SURVIVED
196, SURVIVED
197, SURVIVED
198, SURVIVED
199, SURVIVED
200, SURVIVED
201, SURVIVED
202, SURVIVED
203, SURVIVED
204, SURVIVED
205, SURVIVED
206, SURVIVED
207, SURVIVED
208, SURVIVED
209, SURVIVED
210, SURVIVED
211, SURVIVED
212, SURVIVED
213, SURVIVED
214, SURVIVED
215, SURVIVED
216, SURVIVED
217, SURVIVED
218, SURVIVED
219, SURVIVED
220, SURVIVED
221, SURVIVED
222, SURVIVED
223, SURVIVED
224, SURVIVED
225, SURVIVED
226, SURVIVED
227, SURVIVED
228, SURVIVED
229, SURVIVED
230, SURVIVED
231, SURVIVED
232, SURVIVED
233, SURVIVED
234, SURVIVED
235, SURVIVED
236, SURVIVED
237, SURVIVED
238, SURVIVED
239, SURVIVED
240, SURVIVED
241, SURVIVED
242, SURVIVED
243, SURVIVED
244, SURVIVED
245, SURVIVED
246, SURVIVED
247, SURVIVED
248, SURVIVED
249, SURVIVED
250, SURVIVED
251, SURVIVED
252, SURVIVED
253, SURVIVED
254, SURVIVED
255, SURVIVED
320, SURVIVED
322, SURVIVED
323, SURVIVED
325, SURVIVED
326, SURVIVED
327, SURVIVED
328, SURVIVED
329, SURVIVED
330, SURVIVED
332, SURVIVED
334, SURVIVED
335, SURVIVED
336, SURVIVED
436, SURVIVED
437, SURVIVED
438, SURVIVED
683, SURVIVED
684, SURVIVED
686, SURVIVED
699, SURVIVED
700, SURVIVED
701, SURVIVED
702, SURVIVED
704, SURVIVED
705, SURVIVED
706, SURVIVED
707, SURVIVED
708, SURVIVED
709, SURVIVED
710, SURVIVED
711, SURVIVED
712, SURVIVED
713, SURVIVED
715, SURVIVED
716, SURVIVED
718, SURVIVED
851, SURVIVED
852, SURVIVED
853, SURVIVED
854, SURVIVED
855, SURVIVED
856, SURVIVED
857, SURVIVED
858, SURVIVED
859, SURVIVED
914, SURVIVED
915, SURVIVED
916, SURVIVED
919, SURVIVED
920, TIMEOUT_KILL
