mutant, status
822, INIT_DB_FAIL
968, SURVIVED
1100, INIT_DB_FAIL
1105, INIT_DB_FAIL
1106, INIT_DB_FAIL
1107, INIT_DB_FAIL
1108, INIT_DB_FAIL
1109, INIT_DB_FAIL
1110, INIT_DB_FAIL
1111, INIT_DB_FAIL
1112, INIT_DB_FAIL
1113, INIT_DB_FAIL
1114, INIT_DB_FAIL
1115, INIT_DB_FAIL
1116, INIT_DB_FAIL
1117, INIT_DB_FAIL
1118, INIT_DB_FAIL
1488, SURVIVED
1489, SURVIVED
1490, SURVIVED
1491, SURVIVED
1492, SURVIVED
1493, SURVIVED
1494, SURVIVED
1495, SURVIVED
1496, SURVIVED
1497, SURVIVED
1498, SURVIVED
1500, SURVIVED
1501, SURVIVED
2369, SURVIVED
2370, SURVIVED
2371, SURVIVED
2372, SURVIVED
2373, SURVIVED
2374, SURVIVED
2375, INIT_DB_FAIL
2376, INIT_DB_FAIL
2377, INIT_DB_FAIL
2378, INIT_DB_FAIL
2379, INIT_DB_FAIL
2380, SURVIVED
2384, INIT_DB_FAIL
2385, INIT_DB_FAIL
2386, INIT_DB_FAIL
2387, INIT_DB_FAIL
2388, INIT_DB_FAIL
2389, INIT_DB_FAIL
2390, INIT_DB_FAIL
2391, INIT_DB_FAIL
2392, INIT_DB_FAIL
2393, INIT_DB_FAIL
2394, INIT_DB_FAIL
2395, INIT_DB_FAIL
2396, INIT_DB_FAIL
2397, INIT_DB_FAIL
2398, INIT_DB_FAIL
2399, INIT_DB_FAIL
2400, INIT_DB_FAIL
2401, SURVIVED
2402, SURVIVED
2403, SURVIVED
2404, SURVIVED
2405, SURVIVED
2406, SURVIVED
3318, INIT_DB_FAIL
3319, INIT_DB_FAIL
3320, INIT_DB_FAIL
3321, INIT_DB_FAIL
3322, INIT_DB_FAIL
3323, SURVIVED
3324, SURVIVED
3325, SURVIVED
3326, SURVIVED
3327, SURVIVED
3328, SURVIVED
3329, INIT_DB_FAIL
3330, INIT_DB_FAIL
3414, SURVIVED
3415, SURVIVED
3416, SURVIVED
3417, SURVIVED
3418, SURVIVED
3419, SURVIVED
3420, SURVIVED
3421, SURVIVED
3422, SURVIVED
3423, SURVIVED
3424, SURVIVED
3425, SURVIVED
3426, SURVIVED
3427, SURVIVED
3428, SURVIVED
4109, SURVIVED
4110, SURVIVED
4111, SURVIVED
4112, INIT_DB_FAIL
4113, SURVIVED
4114, INIT_DB_FAIL
4115, INIT_DB_FAIL
4116, SURVIVED
4117, SURVIVED
4118, INIT_DB_FAIL
4119, INIT_DB_FAIL
4120, SURVIVED
4121, SURVIVED
4122, INIT_DB_FAIL
4123, SURVIVED
4124, SURVIVED
4125, SURVIVED
4126, SURVIVED
4127, SURVIVED
4128, SURVIVED
4129, SURVIVED
4130, SURVIVED
4211, SURVIVED
4212, SURVIVED
4213, SURVIVED
4214, SURVIVED
4215, SURVIVED
4216, SURVIVED
4217, SURVIVED
4218, SURVIVED
4219, SURVIVED
4220, SURVIVED
4221, SURVIVED
4222, SURVIVED
4223, SURVIVED
4224, SURVIVED
4225, SURVIVED
4226, SURVIVED
4227, SURVIVED
4228, SURVIVED
4229, SURVIVED
4230, SURVIVED
4231, SURVIVED
4232, SURVIVED
4233, SURVIVED
4234, SURVIVED
4235, SURVIVED
4236, INIT_DB_FAIL
4237, INIT_DB_FAIL
4238, INIT_DB_FAIL
4239, SURVIVED
4240, INIT_DB_FAIL
4241, INIT_DB_FAIL
4242, SURVIVED
4243, SURVIVED
4244, SURVIVED
4245, SURVIVED
4246, SURVIVED
4247, SURVIVED
4248, SURVIVED
4249, SURVIVED
4250, SURVIVED
4251, SURVIVED
4252, SURVIVED
4253, SURVIVED
4254, SURVIVED
4255, SURVIVED
4256, SURVIVED
4257, SURVIVED
4258, SURVIVED
4259, SURVIVED
4260, SURVIVED
4261, SURVIVED
4262, SURVIVED
4263, SURVIVED
4264, SURVIVED
4265, SURVIVED
4266, SURVIVED
4267, SURVIVED
4268, SURVIVED
4269, SURVIVED
4270, SURVIVED
4271, SURVIVED
4272, SURVIVED
4273, SURVIVED
4274, SURVIVED
4275, SURVIVED
4276, SURVIVED
4277, INIT_DB_FAIL
4278, SURVIVED
4279, SURVIVED
4280, INIT_DB_FAIL
4281, SURVIVED
4282, SURVIVED
4283, SURVIVED
4284, SURVIVED
4285, SURVIVED
4286, SURVIVED
4434, SURVIVED
4435, INIT_DB_FAIL
4436, SURVIVED
4437, INIT_DB_FAIL
4438, INIT_DB_FAIL
4439, INIT_DB_FAIL
4440, INIT_DB_FAIL
4441, INIT_DB_FAIL
4442, INIT_DB_FAIL
4443, INIT_DB_FAIL
4444, INIT_DB_FAIL
4445, INIT_DB_FAIL
4446, INIT_DB_FAIL
4447, INIT_DB_FAIL
4515, SURVIVED
4516, SURVIVED
5284, SURVIVED
5285, SURVIVED
5286, SURVIVED
5287, SURVIVED
5288, SURVIVED
7059, INIT_DB_FAIL
7060, SURVIVED
7061, SURVIVED
7062, SURVIVED
7063, SURVIVED
7064, SURVIVED
7065, SURVIVED
7066, SURVIVED
7067, SURVIVED
7068, SURVIVED
7069, SURVIVED
7070, SURVIVED
7071, SURVIVED
7072, SURVIVED
7073, SURVIVED
7074, SURVIVED
7075, SURVIVED
7076, SURVIVED
7077, SURVIVED
7078, SURVIVED
7079, INIT_DB_FAIL
7080, INIT_DB_FAIL
7081, INIT_DB_FAIL
7082, INIT_DB_FAIL
7083, INIT_DB_FAIL
7084, SURVIVED
7085, INIT_DB_FAIL
7086, INIT_DB_FAIL
