mutant, status
0, SURVIVED
1, SURVIVED
2, SURVIVED
3, SURVIVED
4, SURVIVED
5, SURVIVED
6, SURVIVED
7, SURVIVED
8, SURVIVED
9, SURVIVED
10, SURVIVED
11, SURVIVED
12, SURVIVED
13, SURVIVED
14, SURVIVED
15, SURVIVED
16, SURVIVED
17, SURVIVED
18, SURVIVED
19, SURVIVED
20, SURVIVED
21, SURVIVED
22, SURVIVED
23, SURVIVED
24, SURVIVED
25, SURVIVED
26, SURVIVED
27, SURVIVED
28, SURVIVED
29, SURVIVED
30, SURVIVED
31, SURVIVED
32, SURVIVED
33, SURVIVED
34, SURVIVED
35, SURVIVED
36, SURVIVED
37, SURVIVED
38, SURVIVED
39, SURVIVED
40, SURVIVED
41, SURVIVED
42, SURVIVED
43, SURVIVED
44, SURVIVED
45, SURVIVED
46, SURVIVED
47, SURVIVED
48, SURVIVED
49, SURVIVED
50, SURVIVED
51, SURVIVED
52, SURVIVED
53, SURVIVED
54, SURVIVED
55, SURVIVED
56, SURVIVED
57, SURVIVED
58, SURVIVED
59, SURVIVED
60, SURVIVED
61, SURVIVED
62, SURVIVED
63, SURVIVED
64, SURVIVED
65, SURVIVED
66, SURVIVED
67, SURVIVED
68, SURVIVED
69, SURVIVED
70, SURVIVED
71, SURVIVED
72, SURVIVED
73, SURVIVED
74, SURVIVED
75, SURVIVED
76, SURVIVED
77, SURVIVED
78, SURVIVED
79, SURVIVED
80, SURVIVED
81, SURVIVED
82, SURVIVED
83, SURVIVED
84, SURVIVED
85, SURVIVED
86, SURVIVED
87, SURVIVED
88, SURVIVED
89, SURVIVED
90, SURVIVED
91, SURVIVED
92, SURVIVED
93, SURVIVED
94, SURVIVED
95, SURVIVED
96, SURVIVED
97, SURVIVED
98, SURVIVED
99, SURVIVED
100, SURVIVED
101, SURVIVED
102, SURVIVED
103, SURVIVED
104, SURVIVED
107, SURVIVED
108, SURVIVED
109, SURVIVED
110, SURVIVED
111, SURVIVED
112, SURVIVED
113, SURVIVED
114, SURVIVED
115, SURVIVED
116, SURVIVED
117, SURVIVED
118, SURVIVED
119, SURVIVED
120, SURVIVED
121, SURVIVED
122, SURVIVED
123, SURVIVED
124, SURVIVED
145, SURVIVED
146, SURVIVED
147, SURVIVED
148, SURVIVED
149, SURVIVED
150, SURVIVED
151, SURVIVED
152, SURVIVED
153, SURVIVED
154, SURVIVED
155, SURVIVED
156, SURVIVED
157, SURVIVED
158, SURVIVED
159, SURVIVED
160, SURVIVED
161, SURVIVED
162, SURVIVED
163, SURVIVED
164, SURVIVED
165, SURVIVED
166, SURVIVED
167, SURVIVED
168, SURVIVED
169, SURVIVED
170, SURVIVED
171, SURVIVED
172, SURVIVED
173, SURVIVED
174, SURVIVED
175, SURVIVED
176, SURVIVED
177, SURVIVED
178, SURVIVED
179, SURVIVED
180, SURVIVED
