mutant, status
1462, SURVIVED
1463, SURVIVED
1464, SURVIVED
1465, SURVIVED
1466, SURVIVED
1467, TIMEOUT_KILL
1468, TIMEOUT_KILL
1469, SURVIVED
6240, SURVIVED
6241, SURVIVED
6242, SURVIVED
6243, SURVIVED
6244, SURVIVED
6245, SURVIVED
6246, SURVIVED
6247, SURVIVED
6248, SURVIVED
6249, SURVIVED
6250, SURVIVED
6251, SURVIVED
6252, SURVIVED
6253, SURVIVED
6254, SURVIVED
6255, SURVIVED
6256, SURVIVED
6257, SURVIVED
6258, SURVIVED
6259, SURVIVED
6260, SURVIVED
6261, SURVIVED
6262, SURVIVED
6263, SURVIVED
6264, SURVIVED
6265, SURVIVED
6266, SURVIVED
6267, SURVIVED
6268, SURVIVED
