mutant, status
104, SURVIVED
105, SURVIVED
106, SURVIVED
107, SURVIVED
108, SURVIVED
109, STDERR_DIFF_KILL
110, STDERR_DIFF_KILL
111, SURVIVED
112, SURVIVED
113, STDERR_DIFF_KILL
114, SURVIVED
115, SURVIVED
116, STDOUT_DIFF_KILL
117, STDERR_DIFF_KILL
118, STDOUT_DIFF_KILL
119, STDOUT_DIFF_KILL
120, STDOUT_DIFF_KILL
121, STDOUT_DIFF_KILL
122, STDOUT_DIFF_KILL
123, STDOUT_DIFF_KILL
124, STDOUT_DIFF_KILL
125, STDOUT_DIFF_KILL
126, STDOUT_DIFF_KILL
127, STDOUT_DIFF_KILL
128, SURVIVED
129, SURVIVED
130, SURVIVED
131, STDOUT_DIFF_KILL
132, SURVIVED
133, SURVIVED
134, STDERR_DIFF_KILL
135, STDOUT_DIFF_KILL
136, SURVIVED
137, STDOUT_DIFF_KILL
138, SURVIVED
139, SURVIVED
140, STDOUT_DIFF_KILL
141, STDOUT_DIFF_KILL
142, STDOUT_DIFF_KILL
143, SURVIVED
144, STDOUT_DIFF_KILL
145, STDOUT_DIFF_KILL
146, STDOUT_DIFF_KILL
147, STDOUT_DIFF_KILL
148, SURVIVED
149, SURVIVED
150, STDOUT_DIFF_KILL
151, STDOUT_DIFF_KILL
152, STDOUT_DIFF_KILL
153, SURVIVED
154, STDOUT_DIFF_KILL
155, STDOUT_DIFF_KILL
156, STDOUT_DIFF_KILL
157, SURVIVED
158, SURVIVED
159, SURVIVED
160, SURVIVED
161, SURVIVED
162, SURVIVED
163, STDOUT_DIFF_KILL
164, SURVIVED
165, SURVIVED
166, STDERR_DIFF_KILL
167, STDOUT_DIFF_KILL
168, SURVIVED
169, STDOUT_DIFF_KILL
170, SURVIVED
171, SURVIVED
172, STDOUT_DIFF_KILL
173, STDOUT_DIFF_KILL
174, STDOUT_DIFF_KILL
175, SURVIVED
176, STDOUT_DIFF_KILL
177, STDOUT_DIFF_KILL
178, STDOUT_DIFF_KILL
179, STDOUT_DIFF_KILL
180, SURVIVED
181, SURVIVED
182, STDOUT_DIFF_KILL
183, STDOUT_DIFF_KILL
184, STDOUT_DIFF_KILL
185, SURVIVED
186, STDOUT_DIFF_KILL
187, STDOUT_DIFF_KILL
188, STDOUT_DIFF_KILL
189, SURVIVED
190, SURVIVED
191, SURVIVED
