mutant, status
10096, SURVIVED
10097, SURVIVED
10098, SURVIVED
10099, SURVIVED
10100, SURVIVED
10101, SURVIVED
10102, SURVIVED
10103, SURVIVED
10104, SURVIVED
10105, SURVIVED
10106, SURVIVED
10107, SURVIVED
10108, SURVIVED
10109, SURVIVED
10110, SURVIVED
10111, SURVIVED
10112, STDOUT_DIFF_KILL
10121, SURVIVED
10122, SURVIVED
10123, SURVIVED
10124, SURVIVED
10125, SURVIVED
10126, SURVIVED
10127, SURVIVED
10128, SURVIVED
10129, SURVIVED
10130, SURVIVED
10131, SURVIVED
10132, SURVIVED
10133, SURVIVED
10134, SURVIVED
10135, SURVIVED
10136, SURVIVED
10137, SURVIVED
10138, SURVIVED
10139, SURVIVED
10140, SURVIVED
10141, SURVIVED
10142, SURVIVED
