mutant, status
790, SURVIVED
791, SURVIVED
792, SURVIVED
793, SURVIVED
794, SURVIVED
795, SURVIVED
796, SURVIVED
797, SURVIVED
798, SURVIVED
799, SURVIVED
800, SURVIVED
801, SURVIVED
802, SURVIVED
803, SURVIVED
804, SURVIVED
805, SURVIVED
806, SURVIVED
807, SURVIVED
808, SURVIVED
809, SURVIVED
6229, SURVIVED
6230, SURVIVED
7511, SURVIVED
7512, SURVIVED
7591, SURVIVED
7592, SURVIVED
7593, SURVIVED
7594, SURVIVED
7595, SURVIVED
7596, SURVIVED
7597, SURVIVED
7598, SURVIVED
7599, SURVIVED
7600, SURVIVED
7601, SURVIVED
7602, SURVIVED
8987, SURVIVED
8988, SURVIVED
11199, SURVIVED
16297, SURVIVED
16298, SURVIVED
16299, SURVIVED
16364, SURVIVED
16365, SURVIVED
16366, SURVIVED
19151, SURVIVED
19152, SURVIVED
19153, SURVIVED
19154, SURVIVED
19155, SURVIVED
19156, SURVIVED
19157, SURVIVED
19158, SURVIVED
19159, SURVIVED
19160, SURVIVED
19161, SURVIVED
19173, SURVIVED
19174, SURVIVED
19175, SURVIVED
19176, SURVIVED
19177, SURVIVED
19178, SURVIVED
19179, SURVIVED
19180, SURVIVED
19181, SURVIVED
19195, SURVIVED
19196, SURVIVED
19197, SURVIVED
19198, SURVIVED
19199, SURVIVED
19200, SURVIVED
19201, SURVIVED
19202, SURVIVED
19203, SURVIVED
19204, SURVIVED
19205, SURVIVED
20128, SURVIVED
20129, SURVIVED
20130, SURVIVED
20131, SURVIVED
20132, SURVIVED
20133, SURVIVED
20134, SURVIVED
20135, SURVIVED
20136, SURVIVED
20137, SURVIVED
20138, SURVIVED
20139, SURVIVED
20140, SURVIVED
20141, SURVIVED
20142, SURVIVED
20143, SURVIVED
20144, SURVIVED
20145, SURVIVED
20155, SURVIVED
20156, SURVIVED
20157, SURVIVED
20158, SURVIVED
20159, SURVIVED
20160, SURVIVED
20161, SURVIVED
20162, SURVIVED
20163, SURVIVED
20164, SURVIVED
20165, SURVIVED
20166, SURVIVED
20167, SURVIVED
20172, SURVIVED
20173, SURVIVED
20174, SURVIVED
20175, SURVIVED
20176, SURVIVED
20177, SURVIVED
20178, SURVIVED
20179, SURVIVED
20180, SURVIVED
20181, SURVIVED
20182, SURVIVED
20183, SURVIVED
20184, SURVIVED
20185, SURVIVED
20186, SURVIVED
20187, SURVIVED
20188, SURVIVED
20189, SURVIVED
20190, SURVIVED
20191, SURVIVED
20192, SURVIVED
20193, SURVIVED
20194, SURVIVED
20195, SURVIVED
20196, SURVIVED
20197, SURVIVED
20198, SURVIVED
20199, SURVIVED
20200, SURVIVED
20201, SURVIVED
20202, SURVIVED
20203, SURVIVED
20204, SURVIVED
20205, SURVIVED
20206, SURVIVED
20207, SURVIVED
20208, SURVIVED
20209, SURVIVED
20210, SURVIVED
20211, SURVIVED
20212, SURVIVED
20213, SURVIVED
20214, SURVIVED
20215, SURVIVED
20216, SURVIVED
20217, SURVIVED
20218, SURVIVED
20219, SURVIVED
20220, SURVIVED
20221, SURVIVED
20222, SURVIVED
20223, SURVIVED
20224, SURVIVED
20225, SURVIVED
20226, SURVIVED
20227, SURVIVED
20228, SURVIVED
20229, SURVIVED
20230, SURVIVED
20231, SURVIVED
20232, SURVIVED
20233, SURVIVED
20234, SURVIVED
20235, SURVIVED
20236, SURVIVED
20237, SURVIVED
20238, SURVIVED
20239, SURVIVED
20240, SURVIVED
20241, SURVIVED
20242, SURVIVED
20243, SURVIVED
20244, SURVIVED
20245, SURVIVED
20246, SURVIVED
20247, SURVIVED
20248, SURVIVED
20249, SURVIVED
20250, SURVIVED
20251, SURVIVED
20252, SURVIVED
20269, SURVIVED
20270, SURVIVED
20271, SURVIVED
20272, SURVIVED
20273, SURVIVED
20274, SURVIVED
20275, SURVIVED
20276, SURVIVED
20277, SURVIVED
20278, SURVIVED
20279, SURVIVED
20280, SURVIVED
20281, SURVIVED
20282, SURVIVED
20283, SURVIVED
20284, SURVIVED
20285, SURVIVED
20286, SURVIVED
20287, SURVIVED
20288, SURVIVED
20289, SURVIVED
20290, SURVIVED
20291, SURVIVED
20292, SURVIVED
20293, SURVIVED
20294, SURVIVED
20295, SURVIVED
20296, SURVIVED
20297, SURVIVED
20298, SURVIVED
20299, SURVIVED
20300, SURVIVED
20301, SURVIVED
20302, SURVIVED
20303, SURVIVED
20304, SURVIVED
20305, SURVIVED
20306, SURVIVED
20307, SURVIVED
20308, SURVIVED
20309, SURVIVED
20310, SURVIVED
20311, SURVIVED
20312, SURVIVED
20313, SURVIVED
20314, SURVIVED
20315, SURVIVED
20316, SURVIVED
20317, SURVIVED
20318, SURVIVED
20319, SURVIVED
20320, SURVIVED
20321, SURVIVED
20322, SURVIVED
20323, SURVIVED
20324, SURVIVED
20325, SURVIVED
20326, SURVIVED
20327, SURVIVED
20328, SURVIVED
20329, SURVIVED
20330, SURVIVED
20331, SURVIVED
20332, SURVIVED
20333, SURVIVED
20334, SURVIVED
20335, SURVIVED
20336, SURVIVED
20337, SURVIVED
20338, SURVIVED
20339, SURVIVED
20340, SURVIVED
20341, SURVIVED
20342, SURVIVED
20343, SURVIVED
20344, SURVIVED
20345, SURVIVED
20346, SURVIVED
20347, SURVIVED
20348, SURVIVED
20349, SURVIVED
20350, SURVIVED
20351, SURVIVED
20352, SURVIVED
20353, SURVIVED
20354, SURVIVED
20355, SURVIVED
20356, INIT_DB_FAIL
20357, INIT_DB_FAIL
20358, INIT_DB_FAIL
20359, INIT_DB_FAIL
20360, INIT_DB_FAIL
20361, SURVIVED
20362, SURVIVED
20363, INIT_DB_FAIL
20364, INIT_DB_FAIL
20365, INIT_DB_FAIL
20366, INIT_DB_FAIL
20367, SURVIVED
20368, INIT_DB_FAIL
20369, INIT_DB_FAIL
20370, SURVIVED
20371, SURVIVED
20372, SURVIVED
20373, SURVIVED
20374, SURVIVED
20375, SURVIVED
20376, SURVIVED
20377, SURVIVED
20378, SURVIVED
20379, SURVIVED
20380, SURVIVED
20381, SURVIVED
20382, SURVIVED
20383, INIT_DB_FAIL
20384, SURVIVED
20385, INIT_DB_FAIL
20386, SURVIVED
20387, SURVIVED
20578, SURVIVED
20585, SURVIVED
20586, SURVIVED
20587, SURVIVED
20588, SURVIVED
20589, SURVIVED
20590, SURVIVED
