mutant, status
888, SURVIVED
889, SURVIVED
890, SURVIVED
891, INIT_DB_FAIL
892, SURVIVED
893, SURVIVED
894, INIT_DB_FAIL
895, SURVIVED
896, INIT_DB_FAIL
897, INIT_DB_FAIL
898, INIT_DB_FAIL
899, SURVIVED
900, INIT_DB_FAIL
901, INIT_DB_FAIL
902, INIT_DB_FAIL
903, INIT_DB_FAIL
1054, STDOUT_DIFF_KILL
1171, SURVIVED
1172, SURVIVED
1173, INIT_DB_FAIL
1559, STDOUT_DIFF_KILL
1560, SURVIVED
1561, SURVIVED
1563, SURVIVED
1564, SURVIVED
1565, SURVIVED
1566, SURVIVED
1567, SURVIVED
5335, SURVIVED
5336, SURVIVED
5337, SURVIVED
5338, SURVIVED
5340, SURVIVED
5341, SURVIVED
5342, SURVIVED
5343, SURVIVED
5344, SURVIVED
5345, SURVIVED
5346, SURVIVED
5347, SURVIVED
5348, SURVIVED
5349, SURVIVED
5350, SURVIVED
5351, SURVIVED
5352, SURVIVED
5353, SURVIVED
5354, SURVIVED
5355, SURVIVED
5356, SURVIVED
5357, SURVIVED
5358, SURVIVED
5359, SURVIVED
5360, SURVIVED
5361, SURVIVED
5362, SURVIVED
5363, SURVIVED
5364, SURVIVED
5365, SURVIVED
5366, SURVIVED
5367, SURVIVED
5368, SURVIVED
5369, SURVIVED
5370, SURVIVED
5371, SURVIVED
5372, SURVIVED
5373, SURVIVED
5374, SURVIVED
5375, SURVIVED
5376, SURVIVED
5377, SURVIVED
5378, SURVIVED
5379, SURVIVED
5380, SURVIVED
5381, SURVIVED
5382, SURVIVED
5383, SURVIVED
5384, SURVIVED
5385, SURVIVED
5412, SURVIVED
5413, SURVIVED
5414, SURVIVED
5415, SURVIVED
5416, SURVIVED
5417, SURVIVED
5418, SURVIVED
5419, SURVIVED
5420, SURVIVED
5458, SURVIVED
5459, SURVIVED
5460, SURVIVED
5461, SURVIVED
5462, SURVIVED
5463, SURVIVED
5464, SURVIVED
5465, SURVIVED
5466, SURVIVED
5467, SURVIVED
5468, SURVIVED
5469, SURVIVED
5470, SURVIVED
5471, SURVIVED
5472, SURVIVED
5473, SURVIVED
5474, SURVIVED
5475, SURVIVED
5476, SURVIVED
5477, SURVIVED
5478, SURVIVED
5479, SURVIVED
5480, SURVIVED
5481, SURVIVED
5482, SURVIVED
5483, SURVIVED
5484, SURVIVED
5485, SURVIVED
5486, SURVIVED
5487, SURVIVED
5488, SURVIVED
5489, SURVIVED
5490, SURVIVED
5491, SURVIVED
5492, SURVIVED
5493, SURVIVED
5494, SURVIVED
5495, SURVIVED
5496, SURVIVED
5497, SURVIVED
5498, SURVIVED
5499, SURVIVED
5500, SURVIVED
5501, SURVIVED
5502, SURVIVED
5503, SURVIVED
5504, SURVIVED
5505, SURVIVED
5506, SURVIVED
5507, SURVIVED
5508, SURVIVED
5509, SURVIVED
5510, SURVIVED
5511, SURVIVED
5512, SURVIVED
5513, SURVIVED
5514, SURVIVED
5515, SURVIVED
5516, SURVIVED
5517, SURVIVED
5518, SURVIVED
5519, SURVIVED
5520, SURVIVED
5521, SURVIVED
5522, SURVIVED
5523, SURVIVED
5524, SURVIVED
5525, SURVIVED
5526, SURVIVED
5527, SURVIVED
5528, SURVIVED
5529, SURVIVED
5530, SURVIVED
5531, SURVIVED
5532, SURVIVED
5533, SURVIVED
5534, SURVIVED
5535, SURVIVED
5536, SURVIVED
5537, SURVIVED
5538, SURVIVED
5539, SURVIVED
5540, SURVIVED
5541, SURVIVED
5542, SURVIVED
5543, SURVIVED
5544, SURVIVED
5545, SURVIVED
5546, SURVIVED
5547, SURVIVED
5548, SURVIVED
5549, SURVIVED
5550, SURVIVED
5551, SURVIVED
5552, SURVIVED
5553, SURVIVED
5554, SURVIVED
5555, SURVIVED
5556, SURVIVED
5557, SURVIVED
5558, SURVIVED
5559, SURVIVED
5560, SURVIVED
5561, SURVIVED
5562, SURVIVED
5563, SURVIVED
5564, SURVIVED
5565, SURVIVED
5566, SURVIVED
5567, SURVIVED
5568, SURVIVED
5569, SURVIVED
5570, SURVIVED
5571, SURVIVED
5572, SURVIVED
5573, SURVIVED
5574, SURVIVED
5575, SURVIVED
5576, SURVIVED
5577, SURVIVED
5578, SURVIVED
5579, SURVIVED
5580, SURVIVED
5581, SURVIVED
5582, SURVIVED
5583, SURVIVED
5584, SURVIVED
5585, SURVIVED
5586, SURVIVED
5587, SURVIVED
5588, SURVIVED
5589, SURVIVED
5590, SURVIVED
5591, SURVIVED
5592, SURVIVED
5593, SURVIVED
5594, SURVIVED
5595, SURVIVED
5596, SURVIVED
5597, SURVIVED
5598, SURVIVED
5599, SURVIVED
5600, SURVIVED
5601, SURVIVED
5602, SURVIVED
5603, SURVIVED
5604, SURVIVED
5605, SURVIVED
5606, SURVIVED
5607, SURVIVED
5608, SURVIVED
5609, SURVIVED
5610, SURVIVED
5611, SURVIVED
5612, SURVIVED
5613, SURVIVED
5614, SURVIVED
5615, SURVIVED
5616, SURVIVED
5617, SURVIVED
5618, SURVIVED
5619, SURVIVED
5620, SURVIVED
5621, SURVIVED
5622, SURVIVED
