mutant, status
2494, SURVIVED
2495, SURVIVED
11015, SURVIVED
11016, SURVIVED
11017, SURVIVED
11018, SURVIVED
11019, SURVIVED
11020, SURVIVED
11021, SURVIVED
11022, SURVIVED
11023, SURVIVED
11024, SURVIVED
11025, SURVIVED
11026, SURVIVED
11027, SURVIVED
11028, SURVIVED
11029, SURVIVED
11030, SURVIVED
11031, SURVIVED
11032, SURVIVED
11033, SURVIVED
11034, SURVIVED
11035, SURVIVED
11036, SURVIVED
11037, SURVIVED
11038, SURVIVED
11039, SURVIVED
11040, SURVIVED
11041, SURVIVED
11042, SURVIVED
11043, SURVIVED
11044, SURVIVED
11045, SURVIVED
11046, SURVIVED
11047, SURVIVED
11048, SURVIVED
11049, SURVIVED
11050, SURVIVED
11051, SURVIVED
11052, SURVIVED
11053, SURVIVED
11054, SURVIVED
11055, SURVIVED
11056, SURVIVED
11057, SURVIVED
11058, SURVIVED
11059, SURVIVED
11060, SURVIVED
11061, SURVIVED
11062, SURVIVED
11063, SURVIVED
11064, SURVIVED
11074, FUZZ_KILLED
11075, SURVIVED
11076, SURVIVED
11077, SURVIVED
11078, SURVIVED
11079, SURVIVED
11080, SURVIVED
11081, SURVIVED
11082, SURVIVED
11083, SURVIVED
11084, SURVIVED
11085, FUZZ_KILLED
11086, SURVIVED
11087, SURVIVED
12126, SURVIVED
12127, SURVIVED
12128, SURVIVED
12129, SURVIVED
12130, SURVIVED
12131, SURVIVED
12132, SURVIVED
12133, SURVIVED
12134, SURVIVED
12135, SURVIVED
12136, SURVIVED
12137, SURVIVED
12138, SURVIVED
12139, SURVIVED
12140, SURVIVED
12141, SURVIVED
12142, SURVIVED
12143, SURVIVED
12144, SURVIVED
12145, SURVIVED
12146, SURVIVED
12147, SURVIVED
12148, SURVIVED
12149, FUZZ_KILLED
12150, SURVIVED
12151, SURVIVED
12152, SURVIVED
12153, SURVIVED
12154, SURVIVED
12155, SURVIVED
12156, SURVIVED
12157, SURVIVED
12158, SURVIVED
12159, SURVIVED
12160, SURVIVED
12161, SURVIVED
12162, SURVIVED
12163, SURVIVED
12164, SURVIVED
12165, SURVIVED
12166, SURVIVED
12167, SURVIVED
12168, SURVIVED
12169, SURVIVED
12170, SURVIVED
12171, SURVIVED
12172, SURVIVED
12173, SURVIVED
12174, SURVIVED
12175, SURVIVED
12176, SURVIVED
12177, SURVIVED
12178, SURVIVED
12179, SURVIVED
12180, SURVIVED
12181, FUZZ_KILLED
12182, SURVIVED
12183, SURVIVED
12184, SURVIVED
12185, SURVIVED
12186, SURVIVED
12187, SURVIVED
12188, SURVIVED
12189, SURVIVED
12190, SURVIVED
12191, SURVIVED
12192, SURVIVED
12193, SURVIVED
12194, SURVIVED
12195, SURVIVED
12196, SURVIVED
12197, SURVIVED
12198, SURVIVED
12215, SURVIVED
12216, SURVIVED
12217, SURVIVED
12218, SURVIVED
12219, SURVIVED
12220, SURVIVED
12221, SURVIVED
12222, SURVIVED
12223, SURVIVED
12224, SURVIVED
12225, SURVIVED
12226, SURVIVED
12227, SURVIVED
12228, SURVIVED
12229, SURVIVED
12230, SURVIVED
12231, SURVIVED
12232, SURVIVED
12233, SURVIVED
12281, PG_CTL_FAIL
21142, SURVIVED
21143, SURVIVED
21144, SURVIVED
21145, SURVIVED
21146, SURVIVED
21147, SURVIVED
21148, SURVIVED
21149, SURVIVED
21150, SURVIVED
21151, SURVIVED
21152, SURVIVED
21153, SURVIVED
21154, SURVIVED
21155, SURVIVED
21156, SURVIVED
21157, SURVIVED
21158, SURVIVED
21160, SURVIVED
21161, SURVIVED
21162, SURVIVED
21163, SURVIVED
21164, SURVIVED
21165, FUZZ_KILLED
